PSGC,PRVDIS_PSGC,REG_PSGC,SMC_NAME,PRVDIS_NAME,REG_NAME,CITY_CLASS,INCOME_CLASS,LONGITUDE,LATITUDE
137501000,137500000,130000000,CALOOCAN CITY,"NCR, THIRD DISTRICT (Not a Province)",NATIONAL CAPITAL REGION (NCR),HUC,1st,121.043329861,14.753692621
137601000,137600000,130000000,LAS PINAS,"NCR, FOURTH DISTRICT (Not a Province)",NATIONAL CAPITAL REGION (NCR),HUC,1st,120.995318985,14.441146535
137602000,137600000,130000000,MAKATI CITY,"NCR, FOURTH DISTRICT (Not a Province)",NATIONAL CAPITAL REGION (NCR),HUC,1st,121.032257585,14.553438337
137502000,137500000,130000000,MALABON CITY,"NCR, THIRD DISTRICT (Not a Province)",NATIONAL CAPITAL REGION (NCR),HUC,1st,120.958556365,14.6741195
137401000,137400000,130000000,MANDALUYONG CITY,"NCR, SECOND DISTRICT (Not a Province)",NATIONAL CAPITAL REGION (NCR),HUC,1st,121.041395207,14.583087265
133900000,133900000,130000000,MANILA CITY,"NCR, CITY OF MANILA, FIRST DISTRICT (Not a Province)",NATIONAL CAPITAL REGION (NCR),HUC,Special,120.9842,14.5995
137402000,137400000,130000000,MARIKINA CITY,"NCR, SECOND DISTRICT (Not a Province)",NATIONAL CAPITAL REGION (NCR),HUC,1st,121.104970621,14.647311438
137603000,137600000,130000000,MUNTINLUPA CITY,"NCR, FOURTH DISTRICT (Not a Province)",NATIONAL CAPITAL REGION (NCR),HUC,1st,121.033601369,14.402301091
137503000,137500000,130000000,NAVOTAS,"NCR, THIRD DISTRICT (Not a Province)",NATIONAL CAPITAL REGION (NCR),HUC,2nd,120.93584369,14.675150104
137604000,137600000,130000000,PARANAQUE CITY,"NCR, FOURTH DISTRICT (Not a Province)",NATIONAL CAPITAL REGION (NCR),HUC,1st,121.015008451,14.483526027
137403000,137400000,130000000,PASIG CITY,"NCR, SECOND DISTRICT (Not a Province)",NATIONAL CAPITAL REGION (NCR),HUC,1st,121.085479247,14.578866708
137607000,137600000,130000000,TAGUIG CITY,"NCR, FOURTH DISTRICT (Not a Province)",NATIONAL CAPITAL REGION (NCR),HUC,1st,121.06247105,14.516646501
137405000,137400000,130000000,SAN JUAN CITY,"NCR, SECOND DISTRICT (Not a Province)",NATIONAL CAPITAL REGION (NCR),HUC,1st,121.036699803,14.60247271
137504000,137500000,130000000,VALENZUELA CITY,"NCR, THIRD DISTRICT (Not a Province)",NATIONAL CAPITAL REGION (NCR),HUC,1st,120.979164475,14.709993069
012812000,012800000,010000000,LAOAG CITY (Capital),ILOCOS NORTE,REGION I (ILOCOS REGION),CC,3rd,120.577302406,18.195274859
015530000,015500000,010000000,POZZORUBIO,PANGASINAN,REGION I (ILOCOS REGION),,1st,120.528593464,16.112995632
020901000,020900000,020000000,BASCO,BATANES,REGION II (CAGAYAN VALLEY),,5th,121.992935665,20.45867233
034903000,034900000,030000000,CABANATUAN CITY,NUEVA ECIJA,REGION III (CENTRAL LUZON),CC,1st,120.990154777,15.492491046
034919000,034900000,030000000,PALAYAN CITY (Capital),NUEVA ECIJA,REGION III (CENTRAL LUZON),CC,5th,121.11030237,15.493432733
037107000,037100000,030000000,OLONGAPO CITY,ZAMBALES,REGION III (CENTRAL LUZON),HUC,1st,120.306724258,14.826961981
041014000,041000000,040000000,LIPA CITY,BATANGAS,REGION IV-A (CALABARZON),CC,1st,121.170665369,13.939654106
041028000,041000000,040000000,SANTO TOMAS,BATANGAS,REGION IV-A (CALABARZON),CC,1st (as Mun),121.183432833,14.07566209
042103000,042100000,040000000,BACOOR,CAVITE,REGION IV-A (CALABARZON),CC,1st (as Mun),120.971871394,14.415147763
042105000,042100000,040000000,CAVITE CITY,CAVITE,REGION IV-A (CALABARZON),CC,4th,120.897841577,14.48051654
042106000,042100000,040000000,DASMARIÑAS,CAVITE,REGION IV-A (CALABARZON),CC,1st (as Mun),120.96462358,14.31335516
042108000,042100000,040000000,GENERAL TRIAS,CAVITE,REGION IV-A (CALABARZON),CC,1st (as Mun),120.900798874,14.322366053
042109000,042100000,040000000,IMUS,CAVITE,REGION IV-A (CALABARZON),CC,3rd,120.935140417,14.396486973
042119000,042100000,040000000,TAGAYTAY CITY,CAVITE,REGION IV-A (CALABARZON),CC,2nd,120.954954947,14.116106269
042122000,042100000,040000000,TRECE MARTIRES CITY (Capital),CAVITE,REGION IV-A (CALABARZON),CC,4th,120.869438916,14.276308953
043403000,043400000,040000000,BIÑAN,LAGUNA,REGION IV-A (CALABARZON),CC,1st (as Mun),121.069209469,14.307132102
043404000,043400000,040000000,CABUYAO,LAGUNA,REGION IV-A (CALABARZON),CC,1st (as Mun),121.111409152,14.239051723
043424000,043400000,040000000,SAN PABLO CITY,LAGUNA,REGION IV-A (CALABARZON),CC,1st,121.330230155,14.050292459
043425000,043400000,040000000,SAN PEDRO,LAGUNA,REGION IV-A (CALABARZON),CC,3rd,121.040351775,14.349179927
045802000,045800000,040000000,CITY OF ANTIPOLO,RIZAL,REGION IV-A (CALABARZON),CC,1st,121.236305149,14.655886024
050506000,050500000,050000000,LEGAZPI CITY (Capital),ALBAY,REGION V (BICOL REGION),CC,2nd,123.753177994,13.099338846
051716000,051700000,050000000,IRIGA CITY,CAMARINES SUR,REGION V (BICOL REGION),CC,4th,123.437301765,13.451264737
051724000,051700000,050000000,NAGA CITY,CAMARINES SUR,REGION V (BICOL REGION),ICC,2nd,123.258671563,13.643030596
063022000,063000000,060000000,ILOILO CITY (Capital),ILOILO,REGION VI (WESTERN VISAYAS),HUC,1st,122.555204705,10.723488903
064501000,064500000,060000000,BACOLOD CITY (Capital),NEGROS OCCIDENTAL,REGION VI (WESTERN VISAYAS),HUC,1st,122.9563,10.684
072226000,072200000,070000000,LAPU-LAPU CITY (OPON),CEBU,REGION VII (CENTRAL VISAYAS),HUC,1st,123.974514223,10.295538921
086018000,086000000,080000000,SANTO NINO,SAMAR (WESTERN SAMAR),REGION VIII (EASTERN VISAYAS),,5th,124.441436216,11.90472977
099701000,099700000,090000000,CITY OF ISABELA (Capital),CITY OF ISABELA (Not a Province),REGION IX (ZAMBOANGA PENINSULA),CC,4th,121.988758165,6.644112673
104305000,104300000,100000000,CAGAYAN DE ORO CITY (Capital),MISAMIS ORIENTAL,REGION X (NORTHERN MINDANAO),HUC,1st,124.602001503,8.372777718
112402000,112400000,110000000,DAVAO CITY,DAVAO DEL SUR,REGION XI (DAVAO REGION),HUC,1st,125.418898445,7.264440075
141102000,141100000,140000000,BAGUIO CITY,BENGUET,CORDILLERA ADMINISTRATIVE REGION (CAR),HUC,1st,120.596165819,16.399947494
153617000,153600000,150000000,MARAWI CITY (Capital),LANAO DEL SUR,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),CC,4th,124.296623511,8.021222699
045624000,045600000,040000000,LUCENA CITY (Capital),QUEZON,REGION IV-A (CALABARZON),HUC,2nd,121.615485988,13.936754374
118603000,118600000,110000000,MALITA,DAVAO OCCIDENTAL,REGION XI (DAVAO REGION),,1st,125.543457488,6.319302352
012804000,012800000,010000000,"BANGUI,",ILOCOS NORTE,REGION I (ILOCOS REGION),,4th,120.749666568,18.489742996
015518000,015500000,010000000,DAGUPAN CITY,PANGASINAN,REGION I (ILOCOS REGION),ICC,2nd,120.34491968,16.054135621
041018000,041000000,040000000,MATAAS NA KAHOY,BATANGAS,REGION IV-A (CALABARZON),,4th,121.102555607,13.975826846
166724000,166700000,160000000,SURIGAO CITY (Capital),SURIGAO DEL NORTE,REGION XIII (Caraga),CC,3rd,125.489015197,9.733280186
129804000,129800000,120000000,COTABATO CITY,COTABATO CITY (Not a Province),REGION XII (SOCCSKSARGEN),ICC,3rd,124.231446866,7.208622772
097332000,097300000,090000000,ZAMBOANGA CITY,ZAMBOANGA DEL SUR,REGION IX (ZAMBOANGA PENINSULA),HUC,1st,122.142102601,7.162354861
140117000,140100000,140000000,PENARRUBIA,ABRA,CORDILLERA ADMINISTRATIVE REGION (CAR),,6th,120.664826003,17.537457222
097201000,097200000,090000000,DAPITAN CITY,ZAMBOANGA DEL NORTE,REGION IX (ZAMBOANGA PENINSULA),CC,3rd,123.443881055,8.591168728
097209000,097200000,090000000,PINAN (NEW PINAN),ZAMBOANGA DEL NORTE,REGION IX (ZAMBOANGA PENINSULA),,4th,123.450425644,8.418261476
072217000,072200000,070000000,CEBU CITY (Capital),CEBU,REGION VII (CENTRAL VISAYAS),HUC,1st,123.859974949,10.379289149
023114000,023100000,020000000,ILAGAN (Capital),ISABELA,REGION II (CAGAYAN VALLEY),CC,1st (as Mun),122.029087624,17.150233316
097202000,097200000,090000000,DIPOLOG CITY (Capital),ZAMBOANGA DEL NORTE,REGION IX (ZAMBOANGA PENINSULA),CC,3rd,123.347565997,8.504853358
097214000,097200000,090000000,SERGIO OSMENA SR.,ZAMBOANGA DEL NORTE,REGION IX (ZAMBOANGA PENINSULA),,2nd,123.384924558,8.289145782
083747000,083700000,080000000,TACLOBAN CITY (Capital),LEYTE,REGION VIII (EASTERN VISAYAS),HUC,1st,124.955315969,11.271327976
015532000,015500000,010000000,SAN CARLOS CITY,PANGASINAN,REGION I (ILOCOS REGION),CC,3rd,120.327916061,15.907973989
